 warn --- config file  - /opt/bambooagent/xml-data/temporary-repositories/maintenance/hybris/bin/modules/npm-ancillary/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tough-cookie', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tunnel', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /xml2js', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@opencensus%2fweb-types', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jwa', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /safe-buffer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /side-channel', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /asynckit', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /combined-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mime-types', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /psl', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /punycode', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /url-parse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /sax', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /xmlbuilder', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@opentelemetry%2fcontext-base', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /sprintf-js', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nodelib%2ffs.scandir', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fastq', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /braces', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /picomatch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /run-parallel', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /reusify', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /queue-microtask', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /delayed-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mime-db', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /wrappy', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /brace-expansion', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-extglob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ms', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ansi-styles', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /supports-color', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /restore-cursor', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chardet', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /iconv-lite', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tmp', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /escape-string-regexp', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /emoji-regex', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-fullwidth-code-point', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ansi-regex', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /color-convert', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /has-flag', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /color-name', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /onetime', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /safer-buffer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /os-tmpdir', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /immediate', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /core-util-is', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /isarray', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /process-nextick-args', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /string_decoder', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /util-deprecate', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /buffer-equal-constant-time', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ecdsa-sig-formatter', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fill-range', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /to-regex-range', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-number', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /balanced-match', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /concat-map', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /thenify', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tr46', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /webidl-conversions', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /has', bytes: 0/0
